"nameCompany","streetAddress","postalCode","addressLocality","column1"
"Kaufland Wittstock","Meyenburger Chaussee 36","16909","Wittstock","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Schwedt","Platz der Befreiung 6","16303","Schwedt","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Neustrelitz","Strelitzer Str. 24","17235","Neustrelitz","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Prenzlau","Georg-Dreke-Ring 60","17291","Prenzlau","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Schwerin","Hamburger Allee 140 d","19063","Schwerin-Mueßer Holz","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Neubrandenburg, Torfsteg","Torfsteg 11","17033","Neubrandenburg-Am Oberbach","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Neubrandenburg, J.-Gagarin","Juri-Gagarin-Ring 40","17036","Neubrandenburg-Oststadt","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Pasewalk","Stettiner Chaussee 1-3","17309","Pasewalk","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Demmin","Drönnewitzer Str. 1","17109","Demmin","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Rostock-Südstadt","Pütterweg 1","18059","Rostock-Südstadt","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Bentwisch, Hanse Center","Hansestr. 37","18182","Bentwisch","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Rostock-Schmarl","Handwerkstr. 1","18069","Rostock","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Salzwedel","Karl-Marx-Str. 13","29410","Salzwedel","https://www.meinprospekt.de/filialen/kaufland/2"
"Kaufland Bergen","Celler Str. 55","29303","Bergen","https://www.meinprospekt.de/filialen/kaufland/2"
